Case Number,Date,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Species,Investigator or Source,pdf,href formula,original order,Date_alterated
2016.08.27,2016-08-27 00:00:00,Unprovoked,REUNION,nan,Boucan Canot,Surfing,M,"right arm severed, ankle severely bitten",N,"Bull shark, 3.5 m","LaDepeche, 8/29/2016",2016.08.27-Chardard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf,5978,No
2016.08.25,2016-08-25 00:00:00,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,minor injury to ankle,N,,"First Coast News, 7/25/2016",2016.08.25-Cassetty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf,5977,No
2016.08.07,2016-08-07 00:00:00,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,lacerations to left leg,N,,"ABC, 8/11/2016",2016.08.07-Stoch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf,5976,No
2016.08.06,2016-08-06 00:00:00,Unprovoked,USA,Hawaii,Maui,Boarding,M,"no inury, shark & board collided",N,"Tiger shark, 10' ","SUP, 8/9/2015",2016.08.06-Baxter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf,5975,No
2016.08.04,2016-08-04 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,big toe bitten,N,Blacktip shark,"News 965, 8/5/2016",2016.06.04-Tyler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf,5974,No
2016.07.29,2016-07-29 00:00:00,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,lacerations to right hand,N,Blue shark,"Informacion.es, 7/29/2016",2016.07.29-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf,5973,No
2016.07.28.R,2016-07-28 00:00:00,Unprovoked,CHINA,Hong Kong,nan,Swimming,M,lacerations to leg,N,,"Klassick, 7/28/2016",2016.07.28.R-Franz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf,5972,No
2016.07.28,2016-07-28 00:00:00,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,M,"no injury, shark nudged kayak repeatedly",N,White shark,"ABC Australia, 7/28/2016",2016.07.28-Watkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf,5971,No
2016.07.27,2016-07-27 00:00:00,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,laceration to left forearm provoked incident,N,"Nurse shark, 4'","Tampa Bay Times, 7/27/2016",2016.07.27-Sapp.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf,5970,No
2016.07.26,2016-07-26 00:00:00,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,"no injury. leg rope severed, knocked off board by shark",N,,"Gold Coast Bulletin, 7/28/2016",2016.07.26-Ballina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf,5969,No
2016.07.24,2016-07-24 00:00:00,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,lacerations to left leg,N,,"Japan Times, 7/25/2016",2016.07.24-Japan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf,5968,No
2016.07.23.b,2016-07-23 00:00:00,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,calf bumped but no injury,N,,"C. Black, GSAF",2016.07.23.b-Critchlow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf,5967,No
2016.07.23.a,2016-07-23 00:00:00,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,lacerations to face and right leg,N,"Bull shark, 6'","KWTX, 7/23/2016",2016.07.23.a-Cutbirth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.a-Cutbirth.pdf,5966,No
2016.07.20,2016-07-20 00:00:00,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,laceration to left calf from hooked shark provoked incident,N,"reef shark, 1m","Nine News, 7/20/2016",2016.07.20-Burck.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf,5965,No
2016.07.17,2016-07-17 00:00:00,Boat,USA,Alabama,8 miles off Mobile,Fishing,,"no injury, shark bit trolling motor",N,"Tiger shark, 10' ","Al.com, 7/19/2016",2016.07.17-Gulf.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf,5964,No
2016.07.16.b,2016-07-16 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,minor injury to leg,N,,"Orlando Sentinel, 7/21/2016",2016.07.16.b-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf,5963,No
2016.07.16.a,2016-07-16 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,F,minor injury to toes,N,,"Orlando Sentinel, 7/21/2016",2016.07.16.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf,5962,No
2016.07.15,2016-07-15 00:00:00,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,puncture wounds to foot,N,,"C. Creswell, GSAF",2016.07.14-MyrtleBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf,5961,No
2016.07.14.4,2016-07-14 00:00:00,Unprovoked,BAHAMAS,nan,Tiger Beach,Diving,M,face bruised when partly blind shark collided with him,N,"Lemon shark, 9'","GrindTV, 7/14/2016",2016.07.14.R-TigerBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14.R-TigerBeach.pdf,5960,No
2016.07.08.R,2016-07-08 00:00:00,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark,La Opinion de Tenerife,2016.07.08.R-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf,5959,No
2016.07.08,2016-07-08 00:00:00,Boat,USA,California,"Capitola, Santa Cruz County",Fishing,M,"no injury. hull bitten, tooth fragment recovered",N,White shark,"R. Collier, GSAF",2016.07.08-CapitolaBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf,5958,No
2016.07.07.b,2016-07-07 00:00:00,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,fin of hooked shark injured fisherman's forearm. . provoked incident,N,dogfish shark,Salem News 7/8/2016,2016.07.07.b-Brissom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf,5957,No
2016.07.07.a,2016-07-07 00:00:00,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing,M,"no injury. hull bitten, tooth fragment recovered",N,White shark,"R. Collier, GSAF",2016.07.07.a-PoeBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf,5956,No
2016.07.06,2016-07-06 00:00:00,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,"buttocks, thigh, left hand & wrist injured",N,,"Florida Today, 7/6/2016",2016.07.06-Njwoman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf,5955,No
2016.07.04,2016-07-04 00:00:00,Provoked,AUSTRALIA,Queensland,Palm Cove,Fishing,M,right thigh injured by hooked pregnant female shark provoked incident,N,Tawny nurse shark,"Cairns Post, 7/9/2016",2016.07.04-Oliver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf,5954,No
2016.06.27,2016-06-27 00:00:00,Unprovoked,USA,South Carolina,Sullivan's Island,,M,minor injury,N,3' to 4' shark,"C. Creswell, GSAF",2016.06.27-Sullivans.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf,5953,No
2016.06.25,2016-06-25 00:00:00,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,foot injured,N,,"C. Creswell, GSAF",2016.06.25-AtlanticBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf,5952,No
2016.06.24,2016-06-24 00:00:00,Unprovoked,COLUMBIA,Isla Provedencia,nan,Diving,M,severe bite to right hand,N,"Caribbean reef shark, 4.5'",Dr. A. Velez,2016.06.24-Velez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf,5951,No
2016.06.23,2016-06-23 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,injuries to left leg & right hand,N,White shark,"News 24, 6/23/2016",2016.06.23-Rysport.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Rysport.pdf,5950,No
2016.06.21.b,2016-06-21 00:00:00,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,lacerations and punctures to foot,N,3' to 5' shark,"C. Creswell, GSAF",2016.06.21.b-Schott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf,5949,No
2016.06.21.a,2016-06-21 00:00:00,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,injuries to right calf,N,,"Florida Today, 6/22/2016",2016.06.21.a-SatelliteBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf,5948,No
2016.06.15.b,2016-06-15 00:00:00,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,single puncture wound to arm,N,3' to 4' shark,"West Hawaii Today, 6/16/2016",2016.06.15.b-Kauai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf,5947,No
2016.06.15.a,2016-06-15 00:00:00,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,no injury but shark punctured his wetsuit after he prodded it with his spear provoked incident,N,5' shark,"Perth Now, 6/16/2016",2016.06.15.a-Vale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf,5946,No
2016.06.14,2016-06-14 00:00:00,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating,F,injury to lower leg,N,3' to 4' shark,"Click2Houston, 6/14/2016",2016.06.14-Melton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf,5945,No
2016.06.11,2016-06-11 00:00:00,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,laceration to wrist,N,3' shark,"C. Creswell, GSAF",2016.06.11-Bowen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf,5944,No
2016.06.07,2016-06-07 00:00:00,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,"no injury, board damaged",N,Said to involve an 8' shark but more likely damage caused by debris,"C. Creswell, GSAF",2016.06.07-Oneill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf,5943,No
2016.06.05.b,2016-06-05 00:00:00,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,leg bitten,N,,"Daytona Beach News-Journal, 6/5/2016",2016.06.05.b-Flagler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf,5942,No
2016.06.05.a,2016-06-05 00:00:00,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,fatal,Y,3+ m shark,"B. Myatt, GSAF",2016.06.05.a-Collyer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf,5941,No
2016.06.04,2016-06-04 00:00:00,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,"leg severely bitten, surgically amputated",N,Mako shark,"Ahram Online, 6/4/2016",2016.06.04-Qader.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf,5940,No
2016.06.02.b,2016-06-02 00:00:00,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,"no injury, but sharks repeatedly hit their fins and guns",,Bronze whaler sharks x 3,"Gold Coast Bulletin, 6/4/2016",2016.06.02.b-Matigan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf,5939,No
2016.06.02.a,2016-06-02 00:00:00,Unprovoked,NEW CALEDONIA,nan,"Côte-Blanche, Nouméa",Surfing,M,laceration to heel,N,3 m shark,"Les Nouvelles Caledoniennes, 6/3/2016",2016.06.02.a-Pierre.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf,5938,No
2016.05.31,2016-05-31 00:00:00,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,fatal,Y,White shark,"Perth Now, 5/31/2016",2016.05.31-Gerring.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf,5937,No
2016.05.29.b,2016-05-29 00:00:00,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,injuries to arm and shoulder,N,,"R. Collier, GSAF",2016.05.29.b-Corona.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf,5936,No
2016.05.29.a,2016-05-29 00:00:00,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,injury to posterior right leg,N,5' shark,"News4Jax, 5/29/2016",2016.05.29.a-Neptune.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf,5935,No
2016.05.22,2016-05-22 00:00:00,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,puncture wounds to thigh,N,,"Florida Today, 5/22/2016",2016.05.22-Marcus.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf,5934,No
2016.05.21.b,2016-05-21 00:00:00,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,lacerations and puncture wounds to foot and ankle,N,"Bull shark, 4' to 5'","ABC Action News, 6/15/2016",2016.05.21.b-Magee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf,5933,No
2016.05.21.a,2016-05-21 00:00:00,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,"back, arm & hand injured",N,,"Action News Jax, 5/23/2016",2016.05.21.a-Girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-Girl.pdf,5932,No
2016.05.18,2016-05-18 00:00:00,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,ankle bitten,N,"Blacktip shark, 4'","News4Jax, 5/19/2016",2016.05.18-Wilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf,5931,No
2016.05.15,2016-05-15 00:00:00,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing,F,arm grabbed provoked incident,N,"Nurse shark, 2'","CBS News, 5/16/2016",2016.05.15-Boca.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf,5930,No
2016.05.03,2016-05-03 00:00:00,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,minor lacerations to right shoulder,N,,"Maui Now, 5/3/2016",2016.05.03-Maui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf,5929,No
2016.05.02,2016-05-02 00:00:00,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,foot bitten by landed shark provoked incident,N,"Mako shark, 1.5 m [5'] ",Radio New Zealand  5/3/2016,2016.05.02-NZ-pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-NZ-pdf,5928,No
2016.04.25,2016-04-25 00:00:00,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,elbow bitten,N,"Bull shark, 6'","News.com.au, 4/26/2016",2016.04.25-Boarman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf,5927,No
2016.04.23,2016-04-23 00:00:00,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,minor injury to left foot,N,,"News4Jax, 4/23/2016",2016.04.23-Beardall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf,5926,No
2016.04.22,2016-04-22 00:00:00,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Skiing,M,"no injury, surf-ski bitten",N,White shark,"Knysna-Plett Herald, 4/22/2016",2016.04.22-Manson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf,5925,No
2016.04.19,2016-04-19 00:00:00,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,minor puncture wound to foot,N,Wobbegong shark,"Gold Coast Bulletin, 4/19/2016",2016.04.19-Kedem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf,5924,No
2016.04.18,2016-04-18 00:00:00,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,"severe lacerations to right forearm, hand and calf from speared shark provoked incident",N,"Grey reef shark, 2 m","Tahiti Infos, 4/19/2016",2016.04.18-Tokoragi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-Tokoragi.pdf,5923,No
2016.04.13,2016-04-13 00:00:00,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,multiple bites to right arm,N,"Bull shark, 7'","Palm Beach Post, 4/13/2016",2016.04.13-Senkowicz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf,5922,No
2016.04.09,2016-04-09 00:00:00,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,fatal,Y,"Tiger shark, 2.5 m",Les Nouvelles Caledonnie. 4/11/2016,2016.04.09-Malignon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf,5921,No
2016.04.08,2016-04-08 00:00:00,Invalid,CAPE VERDE,Boa Vista Island,nan,,M,"""serious""",N,Shark involvement not confirmed,L.O.Guttke,2016.04.08-CapeVerde.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf,5920,No
2016.04.07.b,2016-04-07 00:00:00,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,left hand bitten,N,5' to 6' shark,,2016.04.07.b-Lester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf,5919,No
2016.04.07.a,2016-04-07 00:00:00,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",,M,fell off board when spinner shark leapt from the water next to him. no injury to surfer,N,,YouTube,2016.04.07.a-Trinidad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf,5918,No
2016.03.31,2016-03-31 00:00:00,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,minor injury to left foot,N,,"Maui Now, 3/31/2016",2016.03.31-Orr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf,5917,No
2016.03.30,2016-03-30 00:00:00,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,severe injury to thigh,N,,"Daily Telegraph, 3/30/2016",2016.03.30-Connellan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-Connellan.pdf,5916,No
2016.03.28.b,2016-03-28 00:00:00,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",,M,minor injury to arm. possibly caused by smalll nurse shark,N,Shark involvement not confirmed,"Fox 35, 3/30/2015",2016.03.28.b-Kawa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf,5915,No
2016.03.28.a,2016-03-28 00:00:00,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,"no injury, board dented",N,,"B. Myatt, GSAF",2013.03.28.a-Smyth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-Smyth.pdf,5914,No
2016.03.26,2016-03-26 00:00:00,Provoked,BAHAMAS,nan,nan,,M,minor injury to chest provoked incident,N,"Nurse shark, 2.5-ft","Wisconsin State Journal, 4/2/2016",2016.03.26-Kreckman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf,5913,No
2016.03.13,2016-03-13 00:00:00,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,,board reportedly bumped by shark. no injury,N,Shark involvement not confirmed,"Orange County Register, 3/13/2016",2016.03.13-BolsaChicaSurfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf,5912,No
2016.03.11,2016-03-11 00:00:00,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Surfing,M,lacerations to right foot and ankle,N,,"WCBV-5, 3/31/206",2016.03.11-Kenny.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf,5911,No
2016.03.10,2016-03-10 00:00:00,Unprovoked,Fiji,Vanua Levu,nan,Diving,M,fatal,Y,,"Fiji Sun, 3/12/2016",2016.03.10-Tabua.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf,5910,No
2016.03.04,2016-03-04 00:00:00,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,superficial injury to foot,N,,WPTV. 3/4/2016,2016.03.04-OCPark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf,5909,No
2016.03.03.R,2016-03-03 00:00:00,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,puncture wounds to right calf,N,Bronze whaler,"9 News, 3/1/2016",2016.03.03.R-Taplin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.R-Taplin.pdf,5908,No
2016.03.02,2016-03-02 00:00:00,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,minor injury to head,N,Sandtiger shark,"Misones Online, 3/4/2016",2016.03.02-Thomas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf,5907,No
