Date,Contrat de travail,Collège,Tranche d'âge,Effectif
2017,Agents au statut,Exécution roulant trains,55 ans et plus,165
2016,Agents au statut,Exécution sédentaires,De 45 à 54 ans,7167
2017,Agents au statut,Cadre,55 ans et plus,3686
2011,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2011,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,919
2015,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,6565
2014,Agents contractuels,Exécution roulant trains,55 ans et plus,2
2013,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
2013,Agents au statut,Exécution sédentaire,De 35 à 44 ans,14433
2010,Agents au statut,Maîtrise,De 18 à 24 ans,884
2016,Agents au statut,Cadre supérieur,55 ans et plus,460
2016,Agents contractuels,Maîtrise,Moins de 18 ans,0
2014,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1130
2014,Agents contractuels,Maîtrise,De 25 à 34 ans,446
2013,Agents contractuels,Maîtrise,De 18 à 24 ans,173
2011,Agents contractuels,Maîtrise,De 25 à 34 ans,279
2011,Agents contractuels,Cadre,55 ans et plus,219
2012,Agents au statut,Cadre,55 ans et plus,2388
2017,Agents contractuels,Maîtrise,De 35 à 44 ans,1664
2015,Agents au statut,Exécution sédentaire,De 35 à 44 ans,14222
2014,Agents contractuels,Maîtrise,55 ans et plus,664
2015,Agents au statut,Cadre,Moins de 18 ans,0
2011,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,4056
2010,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,61
2010,Agents contractuels,Exécution sédentaires,Moins de 18 ans,0
2013,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,136
2013,Agents au statut,Exécution sédentaires,55 ans et plus,3179
2013,Agents contractuels,Cadre,De 45 à 54 ans,943
2013,Agents contractuels,Cadre,Moins de 18 ans,0
2012,Agents contractuels,Maîtrise,55 ans et plus,692
2012,Agents contractuels,Cadre,Moins de 18 ans,0
2013,Agents au statut,Cadre,De 45 à 54 ans,10397
2013,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,6574
2013,Agents au statut,Exécution roulant conduite,De 45 à 49 ans,2466
2010,Agents au statut,Exécution sédentaires,De 18 à 24 ans,4096
2010,Agents au statut,Cadre supérieur,De 35 à 44 ans,397
2017,Agents contractuels,Cadre,De 25 à 34 ans,713
2013,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,1471
2013,Agents au statut,Exécution roulant trains,De 18 à 24 ans,276
2013,Agents au statut,Exécution sédentaire,De 25 à 34 ans,18015
2013,Agents contractuels,Maîtrise,55 ans et plus,707
2011,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,2
2011,Agents au statut,Exécution sédentaires,De 25 à 34 ans,17890
2011,Agents au statut,Cadre supérieur,De 35 à 44 ans,384
2011,Agents contractuels,Maîtrise,De 45 à 54 ans,520
2015,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,111
2015,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,129
2015,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,48
2012,Agents contractuels,Cadre,De 45 à 54 ans,571
2013,Agents au statut,Cadre,Moins de 18 ans,0
2014,Agents au statut,Maîtrise,De 25 à 34 ans,7393
2016,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,4
2010,Agents au statut,Exécution sédentaires,De 25 à 34 ans,18134
2010,Agents contractuels,Maîtrise,De 18 à 24 ans,145
2010,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,49
2010,Agents contractuels,Exécution roulant conduite,55 ans et plus,0
2010,Agents contractuels,Cadre,De 18 à 24 ans,48
2011,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,15
2011,Agents au statut,Maîtrise,De 18 à 24 ans,1012
2011,Agents contractuels,Cadre,De 45 à 54 ans,489
2011,Agents contractuels,Cadre,De 18 à 24 ans,69
2010,Agents contractuels,Exécution roulant trains,55 ans et plus,1
2011,Agents au statut,Exécution sédentaires,De 35 à 44 ans,14771
2017,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,386
2017,Agents au statut,Maîtrise,55 ans et plus,6796
2015,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1130
2015,Agents au statut,Exécution roulant trains,55 ans et plus,187
2015,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2016,Agents au statut,Exécution sédentaires,55 ans et plus,3578
2016,Agents au statut,Cadre supérieur,De 45 à 54 ans,721
2017,Agents au statut,Cadre supérieur,55 ans et plus,437
2016,Agents contractuels,Cadre,Moins de 18 ans,0
2012,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
2013,Agents au statut,Exécution roulant trains,De 35 à 44 ans,3397
2014,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,325
2014,Agents au statut,Exécution sédentaires,De 45 à 54 ans,9477
2016,Agents au statut,Exécution roulant trains,De 35 à 44 ans,3497
2013,Agents au statut,Maîtrise,Moins de 18 ans,0
2017,Agents au statut,Exécution roulant trains,De 25 à 34 ans,1695
2017,Agents au statut,Exécution sédentaire,De 18 à 24 ans,3507
2013,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,13
2013,Agents contractuels,Exécution sédentaire,De 18 à 24 ans,799
2013,Agents au statut,Exécution sédentaire,De 18 à 24 ans,4692
2013,Agents contractuels,Cadre,De 18 à 24 ans,66
2013,Agents au statut,Cadre,55 ans et plus,2859
2012,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2012,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,92
2014,Agents contractuels,Cadre,De 25 à 34 ans,878
2015,Agents au statut,Cadre,De 25 à 34 ans,3637
2017,Agents au statut,Maîtrise,De 35 à 44 ans,13023
2010,Agents contractuels,Maîtrise,55 ans et plus,633
2011,Agents au statut,Maîtrise,De 25 à 34 ans,7527
2011,Agents au statut,Cadre,De 18 à 24 ans,178
2015,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2015,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,374
2015,Agents contractuels,Exécution sédentaire,Moins de 18 ans,1
2011,Agents contractuels,Exécution roulant trains,55 ans et plus,2
2011,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,777
2015,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,246
2015,Agents contractuels,Cadre,55 ans et plus,461
2016,Agents au statut,Exécution sédentaire,De 18 à 24 ans,3757
2016,Agents contractuels,Maîtrise,De 25 à 34 ans,479
2010,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2010,Agents au statut,Cadre,De 45 à 54 ans,12107
2012,Agents contractuels,Maîtrise,De 18 à 24 ans,165
2017,Agents contractuels,Cadre,De 18 à 24 ans,60
2014,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,3133
2014,Agents au statut,Exécution sédentaire,Moins de 18 ans,1
2011,Agents au statut,Exécution roulant trains,De 18 à 24 ans,244
2010,Agents contractuels,Maîtrise,Moins de 18 ans,0
2016,Agents au statut,Maîtrise,De 45 à 54 ans,12852
2015,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
2015,Agents contractuels,Maîtrise,De 18 à 24 ans,173
2012,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2012,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1385
2012,Agents au statut,Exécution roulant trains,De 18 à 24 ans,282
2015,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,2967
2015,Agents au statut,Exécution sédentaire,De 18 à 24 ans,3918
2013,Agents au statut,Exécution sédentaire,Moins de 18 ans,0
2013,Agents contractuels,Maîtrise,De 25 à 34 ans,438
2013,Agents contractuels,Maîtrise,Moins de 18 ans,0
2013,Agents au statut,Maîtrise,De 45 à 54 ans,17114
2010,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
2010,Agents au statut,Exécution roulant trains,De 25 à 34 ans,2633
2016,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,2042
2016,Agents contractuels,Maîtrise,55 ans et plus,607
2016,Agents au statut,Maîtrise,De 35 à 44 ans,13081
2014,Agents contractuels,Exécution sédentaire,De 18 à 24 ans,486
2014,Agents au statut,Cadre supérieur,De 35 à 44 ans,305
2011,Agents contractuels,Maîtrise,De 35 à 44 ans,543
2012,Agents au statut,Cadre,De 25 à 34 ans,3508
2017,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,2933
2011,Agents contractuels,Cadre,Moins de 18 ans,0
2012,Agents contractuels,Exécution sédentaires,Moins de 18 ans,1
2013,Agents au statut,Exécution roulant trains,De 25 à 34 ans,2342
2010,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,6602
2010,Agents au statut,Exécution sédentaires,Moins de 18 ans,2
2017,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,515
2017,Agents au statut,Maîtrise,Moins de 18 ans,0
2013,Agents contractuels,Maîtrise,De 35 à 44 ans,949
2014,Agents au statut,Cadre,De 45 à 54 ans,9708
2014,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,55
2011,Agents au statut,Exécution roulant conduite,De 45 à 49 ans,2564
2015,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,1764
2016,Agents au statut,Maîtrise,De 25 à 34 ans,7216
2012,Agents au statut,Exécution roulant conduite,50 ans et plus,1263
2012,Agents contractuels,Exécution sédentaires,De 18 à 24 ans,813
2012,Agents au statut,Exécution sédentaires,De 45 à 54 ans,12474
2012,Agents au statut,Cadre supérieur,55 ans et plus,349
2012,Agents contractuels,Cadre,De 18 à 24 ans,52
2014,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,15
2014,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,6635
2014,Agents au statut,Exécution roulant trains,De 35 à 44 ans,3515
2016,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,1022
2016,Agents au statut,Maîtrise,55 ans et plus,7443
2011,Agents au statut,Cadre,De 35 à 44 ans,7380
2010,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,669
2017,Agents au statut,Exécution sédentaire,Moins de 18 ans,0
2015,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2015,Agents au statut,Exécution sédentaire,Moins de 18 ans,0
2016,Agents contractuels,Exécution roulant conduite,55 ans et plus,25
2016,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1059
2016,Agents contractuels,Exécution sédentaires,55 ans et plus,619
2012,Agents contractuels,Maîtrise,De 35 à 44 ans,673
2012,Agents au statut,Maîtrise,De 25 à 34 ans,7547
2015,Agents contractuels,Maîtrise,De 35 à 44 ans,1218
2013,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,1
2013,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2013,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,147
2012,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,125
2012,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,6691
2014,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,2
2014,Agents au statut,Cadre supérieur,55 ans et plus,422
2014,Agents contractuels,Cadre,De 35 à 44 ans,1637
2017,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,104
2010,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,162
2011,Agents au statut,Cadre,55 ans et plus,2030
2015,Agents au statut,Exécution roulant trains,De 18 à 24 ans,153
2015,Agents au statut,Maîtrise,Moins de 18 ans,0
2011,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,969
2016,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2016,Agents au statut,Maîtrise,Moins de 18 ans,0
2016,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2016,Agents au statut,Maîtrise,De 18 à 24 ans,925
2017,Agents contractuels,Maîtrise,55 ans et plus,577
2010,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2010,Agents au statut,Exécution roulant trains,De 35 à 44 ans,2872
2012,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,949
2012,Agents contractuels,Maîtrise,Moins de 18 ans,0
2012,Agents au statut,Maîtrise,De 35 à 44 ans,11840
2017,Agents contractuels,Exécution sédentaires,55 ans et plus,671
2017,Agents contractuels,Exécution sédentaire,Moins de 18 ans,0
2014,Agents au statut,Cadre supérieur,De 45 à 54 ans,769
2014,Agents au statut,Maîtrise,55 ans et plus,6840
2014,Agents contractuels,Cadre,Moins de 18 ans,0
2010,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,747
2011,Agents au statut,Exécution roulant trains,De 35 à 44 ans,3056
2010,Agents contractuels,Cadre,De 45 à 54 ans,433
2011,Agents contractuels,Exécution sédentaires,De 18 à 24 ans,1201
2011,Agents contractuels,Exécution sédentaires,55 ans et plus,674
2011,Agents contractuels,Exécution sédentaires,Moins de 18 ans,0
2015,Agents au statut,Exécution roulant trains,De 35 à 44 ans,3589
2016,Agents au statut,Exécution roulant trains,De 18 à 24 ans,143
2016,Agents au statut,Exécution sédentaire,Moins de 18 ans,1
2015,Agents contractuels,Maîtrise,De 25 à 34 ans,410
2015,Agents contractuels,Maîtrise,Moins de 18 ans,0
2012,Agents au statut,Exécution roulant trains,De 25 à 34 ans,2449
2012,Agents au statut,Cadre supérieur,De 25 à 34 ans,11
2012,Agents au statut,Cadre,De 35 à 44 ans,7716
2014,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,1635
2014,Agents contractuels,Exécution sédentaire,Moins de 18 ans,0
2015,Agents au statut,Maîtrise,De 25 à 34 ans,7316
2015,Agents au statut,Cadre,De 18 à 24 ans,142
2013,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,118
2013,Agents au statut,Maîtrise,De 25 à 34 ans,7581
2016,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,353
2016,Agents contractuels,Exécution sédentaire,De 18 à 24 ans,560
2016,Agents contractuels,Cadre,De 25 à 34 ans,788
2014,Agents au statut,Exécution roulant trains,55 ans et plus,164
2014,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2012,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2012,Agents au statut,Exécution sédentaires,De 35 à 44 ans,14611
2017,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,1038
2017,Agents au statut,Exécution roulant trains,De 18 à 24 ans,146
2016,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,2927
2015,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,957
2015,Agents contractuels,Cadre,De 35 à 44 ans,1675
2011,Agents au statut,Exécution roulant trains,55 ans et plus,117
2011,Agents au statut,Maîtrise,Moins de 18 ans,0
2013,Agents contractuels,Exécution sédentaires,De 45 à 54 ans,889
2013,Agents contractuels,Exécution sédentaires,55 ans et plus,682
2012,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,7
2013,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2017,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2016,Agents contractuels,Exécution roulant trains,55 ans et plus,12
2017,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,2249
2017,Agents contractuels,Exécution sédentaire,De 18 à 24 ans,618
2017,Agents au statut,Cadre supérieur,De 35 à 44 ans,278
2013,Agents contractuels,Cadre,55 ans et plus,428
2014,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,33
2015,Agents au statut,Exécution sédentaires,55 ans et plus,3777
2015,Agents au statut,Maîtrise,De 45 à 54 ans,13907
2011,Agents contractuels,Maîtrise,55 ans et plus,665
2012,Agents au statut,Cadre,De 18 à 24 ans,195
2015,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,1067
2015,Agents contractuels,Exécution sédentaire,De 18 à 24 ans,733
2012,Agents au statut,Exécution roulant conduite,De 45 à 49 ans,2448
2012,Agents au statut,Exécution sédentaires,55 ans et plus,2843
2012,Agents au statut,Exécution sédentaires,Moins de 18 ans,0
2014,Agents au statut,Maîtrise,De 35 à 44 ans,12336
2016,Agents au statut,Exécution roulant trains,55 ans et plus,192
2010,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,2
2017,Agents contractuels,Maîtrise,Moins de 18 ans,0
2010,Agents au statut,Maîtrise,De 25 à 34 ans,7438
2012,Agents au statut,Exécution sédentaires,De 25 à 34 ans,17715
2011,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2011,Agents au statut,Exécution sédentaires,De 18 à 24 ans,4531
2011,Agents au statut,Exécution sédentaires,55 ans et plus,2383
2017,Agents contractuels,Cadre,Moins de 18 ans,0
2016,Agents contractuels,Maîtrise,De 18 à 24 ans,202
2017,Agents au statut,Cadre,Moins de 18 ans,0
2012,Agents contractuels,Exécution sédentaires,De 35 à 44 ans,1188
2012,Agents contractuels,Cadre,55 ans et plus,268
2014,Agents contractuels,Exécution roulant conduite,Moins de 18 ans,0
2014,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,1057
2014,Agents au statut,Exécution roulant trains,De 25 à 34 ans,2107
2016,Agents au statut,Exécution sédentaire,De 35 à 44 ans,13648
2015,Agents contractuels,Maîtrise,De 45 à 54 ans,814
2015,Agents contractuels,Cadre,Moins de 18 ans,0
2013,Agents au statut,Maîtrise,De 18 à 24 ans,1131
2017,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2017,Agents au statut,Exécution roulant trains,Moins de 18 ans,0
2013,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,1113
2013,Agents contractuels,Maîtrise,De 45 à 54 ans,671
2014,Agents au statut,Cadre,De 35 à 44 ans,8336
2012,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,2
2012,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,143
2012,Agents au statut,Maîtrise,Moins de 18 ans,0
2013,Agents au statut,Cadre,De 25 à 34 ans,3559
2014,Agents contractuels,Cadre,De 18 à 24 ans,61
2014,Agents au statut,Cadre,55 ans et plus,3420
2017,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,2
2010,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,11
2015,Agents contractuels,Maîtrise,De 18 à 24 ans,111
2015,Agents au statut,Maîtrise,55 ans et plus,7575
2011,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,59
2011,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,84
2012,Agents au statut,Cadre,Moins de 18 ans,0
2015,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,241
2016,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,195
2016,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,452
2016,Agents contractuels,Exécution sédentaire,Moins de 18 ans,0
2016,Agents au statut,Cadre,55 ans et plus,3984
2010,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1743
2010,Agents au statut,Cadre,De 25 à 34 ans,3506
2010,Agents au statut,Maîtrise,De 45 à 54 ans,21737
2010,Agents au statut,Cadre,Moins de 18 ans,0
2013,Agents au statut,Cadre supérieur,De 35 à 44 ans,327
2013,Agents au statut,Cadre,De 35 à 44 ans,8026
2017,Agents contractuels,Exécution roulant trains,De 18 à 24 ans,161
2010,Agents au statut,Maîtrise,55 ans et plus,2702
2016,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,6328
2016,Agents contractuels,Exécution roulant trains,De 45 à 54 ans,58
2017,Agents au statut,Cadre,De 25 à 34 ans,4068
2011,Agents contractuels,Exécution roulant trains,De 35 à 44 ans,104
2011,Agents contractuels,Maîtrise,Moins de 18 ans,0
2011,Agents contractuels,Cadre,De 25 à 34 ans,333
2015,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,121
2012,Agents au statut,Cadre,De 45 à 54 ans,11028
2014,Agents contractuels,Exécution sédentaires,55 ans et plus,624
2014,Agents contractuels,Maîtrise,De 18 à 24 ans,113
2014,Agents au statut,Cadre,Moins de 18 ans,0
2010,Agents au statut,Cadre supérieur,De 25 à 34 ans,9
2016,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,158
2016,Agents contractuels,Cadre,De 45 à 54 ans,1284
2012,Agents au statut,Cadre supérieur,De 35 à 44 ans,359
2017,Agents contractuels,Exécution roulant conduite,De 25 à 34 ans,257
2017,Agents contractuels,Exécution roulant trains,55 ans et plus,32
2017,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
2017,Agents au statut,Maîtrise,De 25 à 34 ans,7251
2015,Agents contractuels,Maîtrise,De 35 à 44 ans,998
2015,Agents au statut,Maîtrise,De 35 à 44 ans,12683
2016,Agents au statut,Cadre,De 35 à 44 ans,8656
2013,Agents contractuels,Exécution roulant conduite,55 ans et plus,1
2013,Agents au statut,Maîtrise,55 ans et plus,5668
2013,Agents contractuels,Cadre,De 25 à 34 ans,895
2012,Agents au statut,Maîtrise,De 45 à 54 ans,18692
2013,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,374
2013,Agents au statut,Cadre supérieur,55 ans et plus,381
2010,Agents au statut,Exécution roulant conduite,De 25 à 34 ans,4236
2017,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1167
2017,Agents au statut,Maîtrise,De 18 à 24 ans,892
2013,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2015,Agents au statut,Exécution roulant trains,De 25 à 34 ans,1882
2015,Agents au statut,Exécution sédentaire,De 25 à 34 ans,17338
2015,Agents au statut,Cadre supérieur,De 45 à 54 ans,752
2015,Agents au statut,Cadre,55 ans et plus,3906
2011,Agents au statut,Exécution roulant conduite,De 18 à 24 ans,606
2011,Agents au statut,Cadre supérieur,De 25 à 34 ans,10
2011,Agents au statut,Maîtrise,De 45 à 54 ans,20105
2015,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,22
2015,Agents contractuels,Exécution roulant trains,55 ans et plus,3
2016,Agents contractuels,Exécution roulant conduite,De 45 à 54 ans,35
2016,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2016,Agents contractuels,Cadre,De 18 à 24 ans,47
2010,Agents contractuels,Maîtrise,De 45 à 54 ans,493
2010,Agents au statut,Maîtrise,De 35 à 44 ans,10878
2010,Agents contractuels,Cadre,55 ans et plus,190
2010,Agents au statut,Cadre,De 18 à 24 ans,122
2010,Agents au statut,Exécution roulant conduite,Moins de 18 ans,0
2010,Agents au statut,Exécution roulant conduite,50 ans et plus,781
2010,Agents au statut,Exécution roulant trains,De 18 à 24 ans,265
2010,Agents contractuels,Cadre,De 35 à 44 ans,682
2011,Agents contractuels,Exécution roulant conduite,De 35 à 44 ans,82
2011,Agents contractuels,Exécution roulant trains,Moins de 18 ans,0
2010,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,637
2011,Agents au statut,Exécution roulant trains,De 25 à 34 ans,2543
2017,Agents contractuels,Exécution roulant trains,De 25 à 34 ans,141
2015,Agents au statut,Exécution roulant trains,De 45 à 54 ans,1057
2015,Agents au statut,Cadre supérieur,De 35 à 44 ans,286
2014,Agents contractuels,Maîtrise,De 45 à 54 ans,753
2015,Agents au statut,Maîtrise,De 18 à 24 ans,890
2016,Agents contractuels,Exécution sédentaires,De 25 à 34 ans,1045
2013,Agents au statut,Exécution roulant conduite,50 ans et plus,1319
2012,Agents contractuels,Exécution roulant trains,55 ans et plus,2
2012,Agents contractuels,Maîtrise,De 45 à 54 ans,558
2015,Agents contractuels,Exécution roulant conduite,De 18 à 24 ans,3
2016,Agents au statut,Cadre,De 45 à 54 ans,8638
2016,Agents au statut,Cadre,De 18 à 24 ans,164
2013,Agents au statut,Exécution sédentaires,De 45 à 54 ans,11025
2013,Agents au statut,Maîtrise,De 35 à 44 ans,12035
2013,Agents contractuels,Cadre,De 35 à 44 ans,1518
2014,Agents au statut,Cadre,De 25 à 34 ans,3628
2017,Agents au statut,Exécution roulant conduite,De 35 à 44 ans,5886
2017,Agents au statut,Exécution roulant trains,De 35 à 44 ans,3193
2017,Agents au statut,Exécution sédentaire,De 25 à 34 ans,16895
2014,Agents au statut,Cadre,De 18 à 24 ans,163
2017,Agents au statut,Cadre,De 18 à 24 ans,196
2017,Agents contractuels,Exécution roulant conduite,55 ans et plus,
2010,Agents contractuels,Exécution sédentaires,55 ans et plus,718
2010,Agents contractuels,Maîtrise,De 25 à 34 ans,231
2011,Agents au statut,Maîtrise,55 ans et plus,3687
2015,Agents contractuels,Maîtrise,55 ans et plus,635
2015,Agents contractuels,Cadre,De 18 à 24 ans,51
2016,Agents au statut,Cadre,De 25 à 34 ans,3788
2017,Agents contractuels,Maîtrise,De 18 à 24 ans,149
